,Index,ETF,Today,1 Month,YTD,1 Year,3 Years,category,subcategory,url,timestamp
0,S&P 500,SPY,1.50%,-6.93%,-19.31%,-11.48%,28.41%,Key Market ETFs,U.S. Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
1,DJIA,DIA,1.14%,-5.78%,-14.56%,-10.24%,15.28%,Key Market ETFs,U.S. Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
2,NASDAQ 100,QQQ,2.14%,-6.00%,-27.41%,-19.82%,51.16%,Key Market ETFs,U.S. Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
3,Mid Cap,MDY,2.13%,-10.21%,-19.68%,-14.80%,16.18%,Key Market ETFs,U.S. Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
4,Small Cap,IJR,1.77%,-10.09%,-19.40%,-16.73%,17.22%,Key Market ETFs,U.S. Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
5,Micro Cap,IWC,2.60%,-8.54%,-23.85%,-28.61%,13.63%,Key Market ETFs,U.S. Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
0,World Equities,ACWI,1.59%,-8.59%,-20.43%,-17.20%,12.84%,Key Market ETFs,Global Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
1,Emerging Markets,ADRE,3.72%,-9.05%,-16.59%,-31.70%,-5.68%,Key Market ETFs,Global Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
2,World ex-US,SPDW,1.73%,-12.87%,-22.45%,-23.15%,-4.97%,Key Market ETFs,Global Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
3,Developed Markets,VEA,1.62%,-12.09%,-21.64%,-22.39%,-4.65%,Key Market ETFs,Global Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
4,EAFE,IEFA,1.51%,-12.34%,-22.62%,-22.87%,-6.72%,Key Market ETFs,Global Equities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
0,20+ Year Treasury Bonds,TLT,-0.88%,0.77%,-22.55%,-21.79%,-13.34%,Key Market ETFs,Bonds,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
1,Aggregate Bonds - US,BND,-0.28%,-0.42%,-11.06%,-12.56%,-8.95%,Key Market ETFs,Bonds,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
2,TIPS - US,TIP,-0.16%,-3.17%,-11.91%,-11.20%,-0.73%,Key Market ETFs,Bonds,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
3,High Yield Bonds - US,PHB,1.12%,-3.96%,-12.62%,-13.46%,-10.59%,Key Market ETFs,Bonds,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
4,International Govt. Bonds,BWX,0.09%,-4.51%,-19.14%,-22.11%,-20.29%,Key Market ETFs,Bonds,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
5,Short Term Corporate,VCSH,0.01%,-0.61%,-5.96%,-7.57%,-4.99%,Key Market ETFs,Bonds,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
0,Industrial Metals,DBB,2.24%,-18.69%,-15.77%,-6.53%,22.95%,Key Market ETFs,Commodities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
1,Gold,GLD,0.06%,-5.63%,-5.16%,-3.56%,22.70%,Key Market ETFs,Commodities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
2,Silver,SLV,0.34%,-13.16%,-17.76%,-26.99%,25.82%,Key Market ETFs,Commodities,https://seekingalpha.com/etfs-and-funds/etf-tables/key_markets,2022-07-08
